Epes,Alabama,1
Boston,Massachusetts,1
Decatur,Georgia,1
Orlando,Florida,1
Bellevue,Ohio,1
Bradenton,Florida,1
Burnsville,Minnesota,1
Casselberry,Florida,1
Ozona,Texas,3
Owasso,Oklahoma,3
Garden Grove,California,3
Somerset,Kentucky,4
Ceres,California,5
Putney,Kentucky,6
Fontana,California,6
Winter Haven,Florida,6
Alhambra,California,14
Kent,Washington,17
Asbury,West Virginia,17
Fresno,California,17
Humble,Texas,17
Tacoma,Washington,17
Ashburn,Virginia,17
Astoria,Oregon,17
Hialeah,Florida,17
Livonia,Michigan,17
Oakland,California,17
Richmond,Kentucky,17
Savannah,Georgia,17
Woodbury,New Jersey,17
Englewood,Colorado,17
Mansfield,Texas,17
Riverside,California,17
Hicksville,New York,17
Holdenville,Oklahoma,17
Chino Valley,Arizona,17
Phoenixville,Pennsylvania,17
East Greenwich,Rhode Island,17
North Fort Myers,Florida,17
Columbia,Maryland,18
Pasadena,Texas,18
Spanaway,Washington,18
Brentwood,Tennessee,18
Cleveland,Ohio,18
Bloomington,Indiana,18
Kansas City,Missouri,18
Steinhatchee,Florida,18
Mountain City,Tennessee,18
Columbia Falls,Montana,18
Salem,Massachusetts,19
Tulsa,Oklahoma,19
Newark,New Jersey,19
Ravenna,Kentucky,19
San Jose,California,19
Stockton,California,19
Kissimmee,Florida,19
Carrollton,Texas,19
Greensboro,Georgia,19
Baton Rouge,Louisiana,19
Millersburg,Ohio,19
Santa Clara,California,19
Ormond Beach,Florida,19
Huachuca City,Arizona,19
San Francisco,California,19
St. Petersburg,Florida,19
Akron,Ohio,20
Inman,Kansas,20
Lacey,Washington,20
Ridge,New York,20
Tempe,Arizona,20
Arnold,Missouri,20
Berwyn,Illinois,20
Dunbar,West Virginia,20
Elyria,Ohio,20
Eugene,Oregon,20
Gurnee,Illinois,20
Hooper,Utah,20
Irvine,California,20
Irving,Texas,20
Lannon,Wisconsin,20
Marion,South Carolina,20
Milton,Florida,20
Monroe,New York,20
Orange,Connecticut,20
Warren,Michigan,20
Aguanga,California,20
Bedford,Pennsylvania,20
Brandon,Mississippi,20
Buffalo,New York,20
Concord,California,20
Hayward,California,20
Machias,Maine,20
Mendota,Illinois,20
Mission,Texas,20
Modesto,California,20
Redding,California,20
Roswell,Georgia,20
Sanford,Michigan,20
Shelton,Connecticut,20
Terrell,Texas,20
Big Lake,Minnesota,20
Columbia,Tennessee,20
Kirkland,Washington,20
Newville,Pennsylvania,20
Paterson,New Jersey,20
Randolph,Alabama,20
Sterling,Virginia,20
Deer Park,Texas,20
Haverhill,Massachusetts,20
Lancaster,New York,20
Los Gatos,California,20
Nashville,Tennessee,20
Snohomish,Washington,20
Sunnyvale,California,20
Tenstrike,Minnesota,20
Alexandria,Virginia,20
Brookhaven,Mississippi,20
Burlington,Kansas,20
Burlington,Colorado,20
Doylestown,Pennsylvania,20
Lake Villa,Illinois,20
Moorefield,West Virginia,20
Norristown,Pennsylvania,20
Oak Harbor,Washington,20
Santa Cruz,California,20
Valparaiso,Indiana,20
Waynesboro,Georgia,20
Wilmington,Delaware,20
Chesterland,Ohio,20
Jersey City,New Jersey,20
Long Valley,New Jersey,20
Palm Harbor,Florida,20
San Antonio,Texas,20
Springfield,Illinois,20
Watsonville,California,20
West Covina,California,20
Douglasville,Georgia,20
Flower Mound,Texas,20
Coeur D'Alene,Idaho,20
Powder Springs,Georgia,20
Stone Mountain,Georgia,20
Huntington Beach,California,20
Schodack Landing,New York,20
Rancho Santa Margarita,California,20
Ashland,Kentucky,21
Jonesborough,Tennessee,23
Clovis,California,25
Waynesville,North Carolina,34
Emmaus,Pennsylvania,35
Cumming,Georgia,36
Erie,Pennsylvania,37
Arvada,Colorado,37
Butler,Pennsylvania,37
Dublin,Ohio,37
Estero,Florida,37
Kerman,California,37
Medford,New Jersey,37
Suwanee,Georgia,37
Charlotte,North Carolina,37
Cleveland,Wisconsin,37
Jacksboro,Texas,37
Fort Pierce,Florida,37
Mooresville,North Carolina,37
Arizona City,Arizona,37
Lincoln Park,Michigan,37
Philadelphia,Pennsylvania,37
,Wisconsin,37
Dayton,Ohio,38
Kearny,New Jersey,38
Mcloud,Oklahoma,38
Sonoma,California,38
Dickson,Tennessee,38
Atlanta,Georgia,39
Madison,Wisconsin,39
Marietta,Georgia,39
Stamford,Connecticut,39
Evansville,Indiana,39
Union Hall,Virginia,39
New Orleans,Louisiana,39
West Monroe,Louisiana,39
,Alabama,39
Sumter,South Carolina,40
Topeka,Kansas,40
Hampton,Virginia,40
Raleigh,North Carolina,40
Rocklin,California,40
Columbia,South Carolina,40
Columbus,Ohio,40
Goodyear,Arizona,40
Lakeland,Florida,40
Lockport,Illinois,40
Palmdale,California,40
Riverside,Rhode Island,40
Atascadero,California,40
Birmingham,Alabama,40
